Вильнюс,991
Брест,807
Витебск,969
Воронеж,844
Волгоград,1064
Ниж. Новгород,1428
Даугавпилс,1085
Калининград,1164
Каунас,1052
Киев,441
Житомир,446
Донецк,561
Кишинев,157
С.Петербург,1498
Рига,1249
Москва,1137
Казань,1643
Минск,855
Мурманск,0
Орел,817
Одесса,0
Таллинн,1495
Харьков,565
Симферополь,313
Ярославль,1387
Уфа,1993
Самара,1574
